Time (ms),Joint 1 (deg),Joint 2 (deg),Joint 3 (deg),Joint 4 (deg),Joint 5 (deg),Joint 6 (deg),Twin 1 (deg),Twin 2 (deg),Twin 3 (deg),Twin 4 (deg),Twin 5 (deg),Twin 6 (deg)
12.4,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
12.5,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
12.6,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
12.7,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
12.8,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
12.9,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
13,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
13.1,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
13.2,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
13.3,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
13.4,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
13.5,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
13.6,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
13.7,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
13.8,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
13.9,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
14,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
14.1,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
14.2,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
14.3,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
14.4,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
14.5,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
14.6,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
14.7,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
14.8,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
14.9,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
15,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
15.1,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
15.2,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
15.3,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
15.4,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
15.5,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
15.6,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
15.7,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
15.8,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
15.9,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
16,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
